Id,Name,City,Contact,Stream,Marks1,Marks2,Marks3,Marks4
1,Bron,Farīdpur,180-649-6360,Hungarian,43,89,7,8
2,Augusto,Yono,441-570-5831,Haitian Creole,72,99,6,48
3,Stuart,Springfield,413-892-7630,Mca,96,28,50,23
4,Reube,Yarabamba,246-745-3064,Mongolian,54,59,97,89
5,Benedikta,Ji’an,233-129-2604,Tamil,70,70,4,65
6,Madelene,Nowogard,479-693-0905,Spanish,86,77,31,96
7,Kania,Rajkot,326-476-7546,Bca,80,58,31,17
8,Sherill,Mrganush,767-317-1103,Marathi,45,13,90,1
9,Norby,Yong’an,407-306-3938,Pashto,16,59,5,53
10,Brandais,Rajkot,494-204-5838,Afrikaans,66,74,86,19
11,Harry,Kazo,637-443-0588,Mca,27,67,6,41
12,Gaston,Smidary,401-532-0510,Bca,29,95,47,5
13,Dominik,Kraczkowa,877-177-5063,Bulgarian,29,11,69,50
14,Rennie,Rajkot,560-434-0172,Swati,74,50,4,90
15,Filip,Bwizibwera,143-110-3622,Yiddish,94,89,70,32
